Iteration; x1; x2
0;-0,4;0,6
1;-0,2;0,8
2;0,2;0,8
3;1;0,8
4;1;0,9
5;1,126;0,9736
6;1,378;1,1208
7;1,282;1,2552
8;1,09;1,524
9;1,24;1,564
10;1,264;1,6304
11;1,33297907;1,7462421
12;1,47093722;1,9779263
13;1,7468535;2,44129469
14;2,29868608;3,36803149
15;3,06668608;5,49283149
16;3,06668608;5,49283149
17;3,06668608;5,49283149
18;2,92084256;5,22571136
19;2,90625821;5,19899935
20;2,87961932;5,14875091
21;2,88467895;5,1551021
22;2,88181811;5,14898716
23;2,87609642;5,13675729
24;2,86465306;5,11229755
25;2,87069721;5,11986547
26;2,88278553;5,13500131
27;2,89972943;5,15115115
28;2,93361723;5,18345082
29;2,90468634;5,12696341
30;2,9162851;5,13615951
31;2,92028658;5,13053177
32;2,91869152;5,10726633
33;2,91550139;5,06073545
34;2,90912114;4,96767369
35;2,90912114;4,96767369
36;2,90380083;4,9447175
37;2,89227325;4,93066309
38;2,86921809;4,90255426
39;2,86943983;4,89458977
40;2,86943983;4,89458977
41;2,87343091;4,9006845
42;2,87403072;4,90153801
43;2,87523032;4,90324504
44;2,87603309;4,9042212
45;2,87684041;4,90495457
46;2,87845506;4,90642131
47;2,87526219;4,90154552
48;2,87606746;4,90238815
49;2,87767801;4,90407339
50;2,87841052;4,9044178
51;2,87863126;4,90359358
52;2,87614268;4,90056749
53;2,87623073;4,90046969
54;2,87650015;4,90038756
55;2,87685234;4,89999635
56;2,87746341;4,89910045
57;2,87868555;4,89730865
58;2,87831226;4,89685474
59;2,87847323;4,89641537
60;2,87879516;4,89553665
61;2,87857118;4,8952643
62;2,87812324;4,89471961
63;2,87744431;4,89325896
64;2,87608644;4,89033764
65;2,8733707;4,88449501
66;2,8733707;4,88449501
67;2,87287655;4,88325903
68;2,87323207;4,88369129
69;2,87325376;4,88365415
70;2,87329714;4,88357986
71;2,87338389;4,88343128
72;2,8735574;4,88313412
73;2,87333559;4,88184818
74;2,87305117;4,88150237
75;2,87307606;4,88153263
76;2,87312583;4,88159314
77;2,87322538;4,88171417
78;2,87322764;4,88174154
79;2,87322764;4,88174154
80;2,8732101;4,88171899
81;2,87320748;4,88171567
82;2,87320223;4,88170905
83;2,87319173;4,88169579
84;2,87317771;4,88167775
85;2,87318119;4,88168199
86;2,87318119;4,88168199
87;2,87318277;4,881684
88;2,87318294;4,88168421
89;2,87318325;4,88168461
90;2,87318324;4,8816846
91;2,87318324;4,8816846
92;2,87318341;4,88168481
93;2,87318341;4,88168481
94;2,87318338;4,88168477
95;2,87318338;4,88168477
96;2,87318338;4,88168477
97;2,87318338;4,88168477
98;2,87318338;4,88168477
99;2,87318338;4,88168477
100;2,87318338;4,88168477
101;2,87318338;4,88168477
102;2,87318338;4,88168477
103;2,87318338;4,88168477
104;2,87318338;4,88168477
105;2,87318338;4,88168477
106;2,87318338;4,88168477
107;2,87318338;4,88168477
108;2,87318338;4,88168477
109;2,87318338;4,88168477
