D³ugoœæ kroku;Lp.;x1(0);x2(0);x1* (HJ);x2* (HJ);y* (HJ);Liczba wywo³añ funkcji celu (HJ);x1* (Rosen);x2* (Rosen);y* (Rosen);Liczba wywo³añ funkcji celu (Rosen)
0.1; 1; 0.593086; -0.63313; 0.774714; -0.77472; 1,23967; 382; 0.774716; -0.774716; 1,23967; 376
0.1; 2; 0.559382; 0.1937; 0.774714; -8.48715e-07; 0,619837; 324; 0.774716; 2.40382e-09; 0,619837; 456
0.1; 3; -0.108334; -0.80005; 2.91744e-06; -0.774721; 0,619837; 412; 1.8682e-07; -0.774716; 0,619837; 260
0.1; 4; -0.0815022; -0.332583; 4.12336e-06; -2.21056e-06; 6,96991e-10; 372; -4.33611e-07; -1.30521e-08; 5,99232e-12; 416
0.1; 5; -0.714266; 0.301777; -0.774716; -5.27971e-06; 0,619837; 342; -0.774716; 3.82814e-09; 0,619837; 456
0.1; 6; -0.887177; 0.443998; -0.774713; 0.77471; 1,23967; 362; -0.774716; 0.774716; 1,23967; 296
0.1; 7; 0.877105; -0.998442; 0.774713; -0.774712; 1,23967; 328; 0.774716; -0.774716; 1,23967; 584
0.1; 8; 0.984423; 0.234963; 0.774719; 2.07731e-06; 0,619837; 364; 0.774716; -3.30421e-09; 0,619837; 288
0.1; 9; 0.223306; -0.985867; 3.10228e-06; -0.77471; 0,619837; 362; -1.51813e-08; -0.774716; 0,619837; 556
0.1; 10; -0.953875; 0.0495493; -0.774713; 9.83799e-07; 0,619837; 380; -0.774716; 1.24651e-09; 0,619837; 336
0.1; 11; -0.200278; -0.906669; 2.71733e-06; -0.774711; 0,619837; 364; -5.55363e-07; -0.774716; 0,619837; 364
0.1; 12; 0.947511; -0.534457; 0.774721; -0.774716; 1,23967; 404; 0.774716; -0.774716; 1,23967; 544
0.1; 13; -0.818787; 0.236772; -0.77472; 4.45144e-06; 0,619837; 344; -0.774716; 8.87956e-11; 0,619837; 432
0.1; 14; -0.235076; 0.966462; -5.21913e-06; 0.774714; 0,619837; 400; -3.14253e-10; 0.774716; 0,619837; 408
0.1; 15; -0.0664742; 0.719881; 5.28944e-06; 0.774715; 0,619837; 370; -6.33772e-08; 0.774716; 0,619837; 548
0.1; 16; 0.360615; -0.0990015; -5.03948e-06; -2.46979e-06; 1,00292e-09; 370; -8.61227e-08; -1.71886e-09; 2,36255e-13; 348
0.1; 17; -0.97347; 0.884404; -0.774715; 0.774711; 1,23967; 282; -0.774716; 0.774716; 1,23967; 540
0.1; 18; 0.126576; -0.229167; 1.72312e-06; -4.38979e-06; 7,08157e-10; 396; -1.08608e-09; 1.51143e-09; 0; 428
0.1; 19; -0.968067; -0.538212; -0.77472; -0.774711; 1,23967; 362; -0.774716; -0.774716; 1,23967; 440
0.1; 20; -0.517949; 0.366527; -0.774712; 0.774718; 1,23967; 418; -0.774716; 0.774716; 1,23967; 552
0.1; 21; 0.219993; 0.66639; -1.80382e-06; 0.774715; 0,619837; 376; -4.10315e-08; 0.774716; 0,619837; 272
0.1; 22; -0.653271; -0.217879; -0.774718; 4.51995e-06; 0,619837; 360; -0.774715; -2.43636e-08; 0,619837; 328
0.1; 23; -0.635528; 0.510723; -0.774712; 0.774712; 1,23967; 334; -0.774716; 0.774716; 1,23967; 404
0.1; 24; -0.149688; -0.584117; -5.62793e-06; -0.774717; 0,619837; 306; -1.02405e-08; -0.774716; 0,619837; 412
0.1; 25; 0.135401; -0.937373; 2.63912e-07; -0.774715; 0,619837; 378; 6.6885e-08; -0.774716; 0,619837; 428
0.1; 26; 0.68457; -0.100492; 0.774718; -3.46053e-06; 0,619837; 292; 0.774716; -1.65874e-09; 0,619837; 388
0.1; 27; -0.2097; 0.853318; 5.05314e-06; 0.774717; 0,619837; 360; 5.77305e-08; 0.774716; 0,619837; 392
