D³ugoœæ kroku;Lp.;x1(0);x2(0);x1* (HJ);x2* (HJ);y* (HJ);Liczba wywo³añ funkcji celu (HJ);x1* (Rosen);x2* (Rosen);y* (Rosen);Liczba wywo³añ funkcji celu (Rosen)
0.1; 1; 0.593086; -0.63313; 0.780586; -0.77063; 1,24127; 126; 0.780586; -0.72063; 1,32831; 16
0.1; 2; 0.559382; 0.1937; 0.771882; 0.00620032; 0,621312; 106; 0.746882; 0.1062; 0,983031; 16
0.1; 3; -0.108334; -0.80005; 0.00416552; -0.77505; 0,620393; 120; 0.000793955; -0.774143; 0,619868; 36
0.1; 4; -0.0815022; -0.332583; 0.00599778; 0.00491722; 0,00191511; 122; -0.00650222; -0.145083; 0,604326; 16
0.1; 5; -0.714266; 0.301777; -0.776766; 0.00177695; 0,620069; 108; -0.773618; 0.23305; 1,93086; 24
0.1; 6; -0.887177; 0.443998; -0.774677; 0.768998; 1,24069; 124; -0.774677; 0.631498; 1,77376; 16
0.1; 7; 0.877105; -0.998442; 0.777105; -0.773442; 1,2399; 88; 0.789605; -0.810942; 1,28813; 16
0.1; 8; 0.984423; 0.234963; 0.771923; -0.00253699; 0,620285; 126; 0.925072; 0.166236; 2,06621; 24
0.1; 9; 0.223306; -0.985867; -0.00169368; -0.773367; 0,619985; 108; 0.135806; -0.798367; 1,17283; 16
0.1; 10; -0.953875; 0.0495493; -0.778875; -0.000450676; 0,620385; 110; -0.774822; -0.000913352; 0,619864; 48
0.1; 11; -0.200278; -0.906669; -0.000278044; -0.769169; 0,620798; 128; -0.012778; -0.769169; 0,62599; 16
0.1; 12; 0.947511; -0.534457; 0.772511; -0.771957; 1,24006; 126; 0.888159; -0.603184; 2,35794; 24
0.1; 13; -0.818787; 0.236772; -0.768787; -0.00072797; 0,620948; 128; -0.789126; 0.133726; 1,14692; 28
0.1; 14; -0.235076; 0.966462; 0.00242398; 0.778962; 0,620589; 126; -0.047576; 0.878962; 1,03006; 16
0.1; 15; -0.0664742; 0.719881; -0.0039742; 0.769881; 0,621068; 116; 0.0276571; 0.807137; 0,677305; 32
0.1; 16; 0.360615; -0.0990015; -0.00188492; 0.000998507; 0,00014488; 116; 0.301196; 0.011086; 1,80835; 24
0.1; 17; -0.97347; 0.884404; -0.77347; 0.771904; 1,23997; 88; -0.78597; 0.796904; 1,25916; 16
0.1; 18; 0.126576; -0.229167; 0.00157643; -0.00416699; 0,000631991; 104; 0.0390764; -0.041667; 0,103061; 16
0.1; 19; -0.968067; -0.538212; -0.780567; -0.775712; 1,24078; 126; -0.780567; -0.625712; 1,81185; 16
0.1; 20; -0.517949; 0.366527; -0.780449; 0.779027; 1,24129; 124; -0.605449; 0.554027; 2,98401; 16
0.1; 21; 0.219993; 0.66639; -0.00500669; 0.77889; 0,621181; 108; 0.160575; 0.776477; 1,341; 24
0.1; 22; -0.653271; -0.217879; -0.778271; -0.00537878; 0,621154; 106; -0.740771; -0.0303788; 0,684255; 16
0.1; 23; -0.635528; 0.510723; -0.773028; 0.773223; 1,23983; 122; -0.723028; 0.698223; 1,49035; 16
0.1; 24; -0.149688; -0.584117; 0.000311755; -0.771617; 0,62014; 108; 0.0282786; -0.687163; 0,865212; 28
0.1; 25; 0.135401; -0.937373; -0.00209935; -0.774873; 0,619978; 122; 0.0373257; -0.753255; 0,67809; 40
0.1; 26; 0.68457; -0.100492; 0.77207; -0.000491742; 0,620063; 78; 0.778598; -0.00302612; 0,6206; 36
0.1; 27; -0.2097; 0.853318; 0.00280046; 0.778318; 0,620493; 108; -0.0221995; 0.778318; 0,635897; 16
0.1; 28; 0.454544; -0.346918; 0.779544; 0.00308154; 0,620869; 104; 0.642044; -0.159418; 1,80003; 16
0.1; 29; 0.140888; 0.0416685; 0.00338795; 0.00416853; 0,000918743; 96; 0.081502; -0.0133424; 0,210279; 24
0.1; 30; 0.922344; 0.689068; 0.772344; 0.776568; 1,23996; 118; 0.862925; 0.799155; 1,50297; 24
0.1; 31; 0.49464; 0.0793843; 0.76964; 0.00438426; 0,621252; 84; 0.68214; 0.00438426; 0,864627; 16
0.1; 32; 0.173502; 0.930511; -0.00149766; 0.780511; 0,62096; 106; 0.114151; 0.861784; 1,24683; 24
0.1; 33; 0.214068; -0.448002; 0.0015685; 0.00199837; 0,000205497; 136; 0.126568; -0.260502; 1,99609; 16
0.1; 34; -0.407453; -0.669466; 0.00504701; -0.769466; 0,621507; 96; -0.219953; -0.756966; 1,83402; 16
0.1; 35; -0.968727; -0.153197; -0.768727; -0.00319705; 0,621279; 88; -0.781227; -0.00319705; 0,621491; 16
0.1; 36; -0.210237; -0.413024; 0.00226303; -0.000523647; 0,000171803; 114; -0.022737; -0.225524; 1,2664; 16
0.1; 37; -0.97184; -0.602315; -0.77184; -0.777315; 1,24014; 108; -0.78434; -0.689815; 1,45024; 16
0.1; 38; 0.422684; 0.580351; 0.772684; 0.780351; 1,2408; 96; 0.610184; 0.767851; 1,91373; 16
0.1; 39; 0.21192; 0.852602; -0.000580039; 0.777602; 0,620108; 108; 0.152568; 0.783875; 1,28178; 24
0.1; 40; 0.302154; 0.829919; 0.00215406; 0.779919; 0,620833; 88; 0.242768; 0.774908; 2,00839; 24
0.1; 41; 0.700077; -0.101099; 0.775077; -0.00109865; 0,61988; 98; 0.791137; -0.00660179; 0,629707; 36
0.1; 42; -0.80918; -0.258363; -0.77168; 0.00413651; 0,620669; 124; -0.77168; -0.0708635; 0,776069; 16
0.1; 43; 0.337683; 0.331845; 0.000182514; -0.0056553; 0,0010193; 124; 0.278331; 0.263118; 3,1995; 24
0.1; 44; 0.182596; -0.450556; -0.00490443; -0.000556417; 0,000775688; 136; 0.0950956; -0.263056; 1,81968; 16
0.1; 45; 0.122487; -0.234146; -0.00251315; 0.00335375; 0,000559242; 126; 0.0349868; -0.0466463; 0,107279; 16
0.1; 46; 0.943424; 0.697828; 0.780924; 0.772828; 1,24099; 126; 0.884005; 0.807915; 1,646; 24
0.1; 47; 0.443459; -0.52803; 0.768459; -0.77803; 1,24124; 104; 0.630959; -0.61553; 2,41455; 16
0.1; 48; -0.487863; -0.919133; -0.775363; -0.769133; 1,24066; 128; -0.577074; -0.753838; 2,14539; 28
0.1; 49; 0.421326; -0.778218; 0.771326; -0.778218; 1,24042; 98; 0.608826; -0.778218; 1,92163; 16
0.1; 50; -0.121327; -0.596562; 0.00367301; -0.771562; 0,620577; 86; -0.00262386; -0.665288; 0,952233; 24
0.1; 51; 0.791527; -0.0492596; 0.779027; 0.000740449; 0,620437; 100; 0.776686; 0.000420698; 0,619964; 32
0.1; 52; 0.126551; 0.391032; 0.00155115; 0.778532; 0,62037; 134; 0.0390511; 0.578532; 1,5507; 16
0.1; 53; -0.721337; 0.208835; -0.771337; -0.00366524; 0,620621; 108; -0.780689; 0.140108; 1,18735; 24
0.1; 54; 0.0796822; -0.593878; 0.00468218; -0.768878; 0,621597; 86; 0.0203306; -0.662604; 0,980061; 24
0.1; 55; 0.885707; 0.197731; 0.773207; -0.00226907; 0,620072; 88; 0.826356; 0.129004; 1,1917; 24
0.1; 56; 0.38957; 0.760936; 0.77707; 0.773436; 1,2399; 114; 0.57707; 0.785936; 2,13592; 16
0.1; 57; 0.248708; -0.408733; -0.00129191; 0.00376738; 0,000505059; 116; 0.161208; -0.221233; 1,94094; 16
