x; y; s; f_calls
1.03059; 1.05437; 0,00108519; ; 174
1.00104; 0.996825; 7,01799e-05; ; 192
1.00448; 1.0049; 6,18294e-05; ; 220
1.00211; 1.00156; 2,20921e-05; ; 172
1.00456; 1.01413; 8,32403e-05; ; 176
0.987222; 0.968331; 0,000261744; ; 142
0.931213; 0.861772; 0,00480417; ; 132
0.996026; 0.985506; 0,00012343; ; 184
0.99528; 0.993779; 4,78216e-05; ; 196
1.00068; 1.00866; 0,000133587; ; 164
1.00124; 1.01014; 0,000147915; ; 192
0.989472; 0.979473; 0,000111271; ; 188
0.994776; 0.984502; 9,17341e-05; ; 210
1.00905; 1.02519; 0,000204757; ; 182
1.00026; 0.994794; 8,22213e-05; ; 180
0.99464; 0.985634; 6,24897e-05; ; 156
0.964068; 0.926998; 0,00130583; ; 136
1.00002; 1.00305; 2,26107e-05; ; 170
0.99691; 0.991435; 2,38788e-05; ; 182
0.99317; 0.993227; 0,00016362; ; 178
0.950077; 0.898901; 0,00252736; ; 144
0.993933; 0.988095; 3,69074e-05; ; 142
1.12249; 1.26585; 0,0150894; ; 106
1.00596; 1.01884; 0,000154234; ; 172
1.04633; 1.09678; 0,00215592; ; 132
1.04153; 1.09137; 0,00183296; ; 158
0.997413; 0.990085; 6,30459e-05; ; 142
1.01071; 1.02586; 0,00016145; ; 172
0.998708; 0.997517; 1,6938e-06; ; 176
