t; alpha; omega
0;0;0
1;0,008176853;0,1607602
2;0,03161023;0,3052667
3;0,06871572;0,4343394
4;0,117991;0,5487987
5;0,1780156;0,6494608
6;0,2474502;0,7371345
7;0,3250361;0,8126173
8;0,4095935;0,8766929
9;0,5000201;0,9301278
10;0,5952893;0,9736696
11;0,6944485;1,008045
12;0,7966163;1,033958
13;0,9009807;1,052087
14;1,006796;1,063088
15;1,113382;1,067587
16;1,220117;1,066187
17;1,326442;1,05946
18;1,43185;1,047951
19;1,53589;1,03218
20;1,63816;1,012636
21;1,738307;0,9897807
22;1,83602;0,9640495
23;1,931034;0,9358502
24;2,023121;0,905564
25;2,11209;0,8735465
26;2,197784;0,8401277
27;2,280079;0,8056135
28;2,358879;0,7702856
29;2,434117;0,7344031
30;2,505749;0,6982031
31;2,573755;0,6619015
32;2,638133;0,6256939
33;2,698902;0,5897567
34;2,756099;0,5542482
35;2,809771;0,519309
36;2,859983;0,4850634
37;2,906811;0,4516204
38;2,950337;0,419074
39;2,990658;0,3875051
40;3,027873;0,3569814
41;3,062091;0,3275589
42;3,093423;0,2992828
43;3,121987;0,2721878
44;3,147901;0,2462992
45;3,171288;0,221634
46;3,192269;0,198201
47;3,210969;0,1760019
48;3,22751;0,1550321
49;3,242016;0,135281
50;3,254607;0,1167327
51;3,265402;0,09936684
52;3,274519;0,08315884
53;3,282071;0,06808058
54;3,288171;0,05410087
55;3,292927;0,04118587
56;3,296443;0,02929954
57;3,29882;0,01840401
58;3,300155;0,008460008
59;3,300542;-0,000572873
60;3,30007;-0,008735816
61;3,298823;-0,01607051
62;3,296882;-0,02261888
63;3,294324;-0,02842287
64;3,291221;-0,03352419
65;3,287641;-0,03796415
66;3,283649;-0,0417835
67;3,279304;-0,04502224
68;3,274662;-0,04771951
69;3,269777;-0,04991347
70;3,264695;-0,05164118
71;3,259463;-0,05293856
72;3,254121;-0,05384025
73;3,248707;-0,05437962
74;3,243256;-0,05458869
75;3,237799;-0,05449809
76;3,232365;-0,05413704
77;3,22698;-0,05353335
78;3,221666;-0,0527134
79;3,216443;-0,05170216
80;3,211331;-0,05052315
81;3,206344;-0,04919853
82;3,201495;-0,04774905
83;3,196797;-0,04619413
84;3,192259;-0,04455184
85;3,187889;-0,04283899
86;3,183693;-0,04107112
87;3,179676;-0,03926256
88;3,175842;-0,03742649
89;3,172192;-0,03557496
90;3,168727;-0,03371892
91;3,165448;-0,03186832
92;3,162353;-0,03003211
93;3,15944;-0,02821833
94;3,156708;-0,0264341
95;3,154152;-0,02468573
96;3,15177;-0,02297873
97;3,149555;-0,02131788
98;3,147504;-0,01970724
99;3,145612;-0,01815026
100;3,143872;-0,01664976
101;3,14228;-0,015208
102;3,140829;-0,01382673
103;3,139513;-0,01250722
104;3,138325;-0,01125029
105;3,13726;-0,01005638
106;3,136312;-0,008925561
107;3,135473;-0,007857562
108;3,134738;-0,006851826
109;3,134101;-0,005907528
110;3,133555;-0,005023608
111;3,133094;-0,004198798
