t; alpha; omega
0; 0; 0
1; 0.008176826; 0.1607597
2; 0.03161013; 0.3052658
3; 0.06871552; 0.4343383
4; 0.1179907; 0.5487973
5; 0.1780151; 0.6494594
6; 0.2474496; 0.7371331
7; 0.3250354; 0.812616
8; 0.4095926; 0.8766916
9; 0.5000191; 0.9301267
10; 0.5952883; 0.9736688
11; 0.6944474; 1.008044
12; 0.7966151; 1.033957
13; 0.9009795; 1.052087
14; 1.006795; 1.063088
15; 1.11338; 1.067588
16; 1.220116; 1.066187
17; 1.32644; 1.05946
18; 1.431849; 1.047952
19; 1.535889; 1.032181
20; 1.638159; 1.012637
21; 1.738306; 0.9897822
22; 1.83602; 0.9640512
23; 1.931034; 0.935852
24; 2.023121; 0.9055659
25; 2.11209; 0.8735485
26; 2.197784; 0.8401298
27; 2.280079; 0.8056156
28; 2.35888; 0.7702877
29; 2.434118; 0.7344053
30; 2.50575; 0.6982053
31; 2.573756; 0.6619036
32; 2.638134; 0.625696
33; 2.698904; 0.5897588
34; 2.7561; 0.5542502
35; 2.809773; 0.5193109
36; 2.859986; 0.4850653
37; 2.906813; 0.4516221
38; 2.95034; 0.4190756
39; 2.990661; 0.3875065
40; 3.027876; 0.3569827
41; 3.062094; 0.3275602
42; 3.093427; 0.2992839
43; 3.12199; 0.2721887
44; 3.147905; 0.2463001
45; 3.171291; 0.2216347
46; 3.192273; 0.1982015
47; 3.210973; 0.1760024
48; 3.227514; 0.1550324
49; 3.24202; 0.1352812
50; 3.25461; 0.1167328
51; 3.265406; 0.0993668
52; 3.274522; 0.08315868
53; 3.282075; 0.06808032
54; 3.288175; 0.05410051
55; 3.292931; 0.04118541
56; 3.296446; 0.02929898
57; 3.298823; 0.01840337
58; 3.300159; 0.00845929
59; 3.300546; -0.0005736631
60; 3.300073; -0.008736672
61; 3.298826; -0.01607143
62; 3.296885; -0.02261985
63; 3.294327; -0.02842388
64; 3.291224; -0.03352524
65; 3.287644; -0.03796524
66; 3.283651; -0.04178462
67; 3.279306; -0.04502338
68; 3.274665; -0.04772067
69; 3.269779; -0.04991463
70; 3.264697; -0.05164235
71; 3.259465; -0.05293973
72; 3.254123; -0.05384142
73; 3.248709; -0.05438078
74; 3.243257; -0.05458984
75; 3.237801; -0.05449922
76; 3.232367; -0.05413815
77; 3.226981; -0.05353444
78; 3.221667; -0.05271447
79; 3.216445; -0.0517032
80; 3.211332; -0.05052416
81; 3.206345; -0.04919951
82; 3.201496; -0.04775
83; 3.196798; -0.04619504
84; 3.19226; -0.04455271
85; 3.18789; -0.04283982
86; 3.183694; -0.04107191
87; 3.179677; -0.03926332
88; 3.175842; -0.03742721
89; 3.172192; -0.03557563
90; 3.168727; -0.03371956
91; 3.165448; -0.03186892
92; 3.162353; -0.03003267
93; 3.159441; -0.02821885
94; 3.156708; -0.02643458
95; 3.154152; -0.02468617
96; 3.15177; -0.02297914
97; 3.149555; -0.02131825
98; 3.147504; -0.01970758
99; 3.145612; -0.01815057
100; 3.143872; -0.01665004
101; 3.14228; -0.01520824
102; 3.140829; -0.01382694
103; 3.139512; -0.0125074
104; 3.138325; -0.01125045
105; 3.13726; -0.01005651
106; 3.136312; -0.008925668
107; 3.135473; -0.007857646
108; 3.134738; -0.006851889
109; 3.1341; -0.00590757
110; 3.133554; -0.005023632
111; 3.133094; -0.004198804
112; 3.132713; -0.00343164
113; 3.132406; -0.002720532
114; 3.132167; -0.002063744
115; 3.131991; -0.001459426
116; 3.131873; -0.000905636
117; 3.131808; -0.0004003618
118; 3.131792; 5.846558e-05
119; 3.131819; 0.0004729541
120; 3.131885; 0.0008452364
121; 3.131986; 0.001177457
122; 3.132119; 0.001471759
123; 3.132279; 0.001730275
124; 3.132464; 0.001955115
125; 3.132669; 0.00214836
126; 3.132893; 0.002312054
127; 3.133131; 0.002448193
128; 3.133381; 0.002558725
129; 3.133642; 0.002645542
130; 3.13391; 0.002710476
131; 3.134183; 0.002755294
132; 3.13446; 0.002781698
133; 3.134739; 0.00279132
134; 3.135018; 0.00278572
135; 3.135296; 0.00276639
136; 3.135571; 0.002734745
137; 3.135842; 0.002692131
138; 3.136109; 0.002639817
139; 3.13637; 0.002579003
140; 3.136625; 0.002510817
141; 3.136872; 0.002436315
142; 3.137112; 0.002356485
143; 3.137343; 0.002272247
144; 3.137566; 0.002184456
145; 3.13778; 0.002093902
146; 3.137985; 0.002001315
147; 3.13818; 0.001907364
148; 3.138366; 0.001812661
149; 3.138543; 0.001717764
150; 3.13871; 0.001623176
151; 3.138867; 0.001529353
152; 3.139016; 0.001436703
153; 3.139155; 0.001345586
154; 3.139285; 0.001256322
155; 3.139406; 0.001169192
156; 3.139519; 0.001084436
157; 3.139623; 0.00100226
158; 3.139719; 0.0009228385
159; 3.139808; 0.000846313
160; 3.139889; 0.0007727978
161; 3.139962; 0.0007023805
162; 3.140029; 0.0006351244
163; 3.140089; 0.0005710706
164; 3.140143; 0.0005102397
165; 3.140192; 0.0004526342
166; 3.140234; 0.0003982393
167; 3.140271; 0.0003470256
168; 3.140304; 0.00029895
169; 3.140331; 0.0002539577
170; 3.140355; 0.000211983
171; 3.140374; 0.0001729514
172; 3.140389; 0.0001367802
173; 3.140401; 0.0001033803
174; 3.14041; 7.265668e-05
175; 3.140416; 4.450983e-05
176; 3.140419; 1.88366e-05
177; 3.14042; -4.468924e-06
178; 3.140418; -2.551464e-05
179; 3.140415; -4.440964e-05
180; 3.140409; -6.126359e-05
181; 3.140402; -7.618605e-05
182; 3.140394; -8.9286e-05
183; 3.140385; -0.0001006712
184; 3.140374; -0.0001104481
185; 3.140363; -0.0001187208
186; 3.14035; -0.0001255913
187; 3.140338; -0.0001311592
188; 3.140324; -0.0001355208
189; 3.14031; -0.0001387696
190; 3.140296; -0.0001409959
191; 3.140282; -0.0001422862
192; 3.140268; -0.0001427239
193; 3.140254; -0.0001423886
194; 3.14024; -0.0001413561
195; 3.140226; -0.0001396987
196; 3.140212; -0.0001374849
197; 3.140198; -0.0001347793
198; 3.140185; -0.0001316431
199; 3.140172; -0.0001281336
200; 3.140159; -0.0001243046
201; 3.140147; -0.0001202065
202; 3.140135; -0.000115886
203; 3.140124; -0.0001113867
204; 3.140113; -0.0001067486
205; 3.140102; -0.000102009
206; 3.140092; -9.720182e-05
207; 3.140083; -9.235816e-05
208; 3.140074; -8.750634e-05
209; 3.140065; -8.2672e-05
210; 3.140057; -7.787823e-05
211; 3.14005; -7.314568e-05
212; 3.140043; -6.849272e-05
213; 3.140036; -6.393553e-05
214; 3.14003; -5.948828e-05
215; 3.140024; -5.516319e-05
216; 3.140019; -5.097068e-05
217; 3.140014; -4.69195e-05
218; 3.14001; -4.301685e-05
219; 3.140005; -3.926845e-05
